epoch,learning_rate,train_total_loss,train_classifier_placeholder_loss,train_classification_loss,train_runner_up_dummy_loss,train_data_placeholder_loss,train_mean_mixup_lambda,validation_loss,validation_accuracy,validation_macro_f1
16,0.0007679133974894982,0.02491281697716978,0.020660949707362385,0.013080086935559909,0.007580862760461039,0.042518673068947264,0.5011691129260593,0.3150556618690491,0.925,0.9255786313354895
17,0.0007408768370508576,0.024239283112684886,0.02026864370206992,0.012909438827302722,0.007359204885363579,0.03970639365580347,0.4993843411021762,0.3567041332244873,0.9206,0.9211986958255254
18,0.0007128896457825362,0.023312366607785226,0.01953512247916725,0.01243023232329223,0.00710489015587502,0.037772441142466334,0.4992127184232076,0.39829906644821167,0.9198,0.920285389807086
19,0.0006840622763423389,0.02278847175306744,0.01943299085299174,0.012297557974027262,0.00713543290015724,0.033554808721277446,0.5012605309804281,0.40169701795578006,0.921,0.9214842058831971
20,0.0006545084971874735,0.02037390281756719,0.017199653198983936,0.01079254142443339,0.006407111788127157,0.031742495906352995,0.4998778200679355,0.4326081219673157,0.9206,0.9211865405067006
21,0.0006243449435824271,0.020741755747463966,0.017709486622280543,0.011359125942985217,0.006350360689891709,0.030322691821720864,0.4991789396497938,0.4312089868545532,0.9158,0.916158380689178
22,0.0005936906572928622,0.020025983454783756,0.017095524803797404,0.010887064149147934,0.006208460653904411,0.029304586537679037,0.5003078266567654,0.44339369621276853,0.9214,0.9216307649960243
23,0.000562666616782152,0.01749211178123951,0.014673229360580445,0.00918636204948028,0.005486867311100165,0.028188824292023976,0.4985047358883752,0.42429122047424317,0.9236,0.9243050044674878
24,0.0005313952597646566,0.01871308989541398,0.016002036291360856,0.00999443461091982,0.006007601679695977,0.027110536416702802,0.4998543568611145,0.4389790063858032,0.9176,0.9180519999747794
25,0.0004999999999999998,0.017178326915370093,0.01456637682368358,0.009057803821894857,0.005508573002161251,0.026119501134753226,0.5002592250294156,0.3764777439594269,0.9268,0.9270619275550815
26,0.00046860474023534314,0.017652415877083938,0.015159201823174954,0.009735336738079785,0.005423865090393358,0.024932140827510094,0.49912044891251456,0.40938127613067626,0.9232,0.923544416625462
27,0.00043733338321784774,0.017350921118921704,0.014915785091453129,0.009486403517921765,0.005429381571213404,0.024351360380649566,0.5014743063926697,0.41140170001983645,0.924,0.9243593163637147
28,0.00040630934270713756,0.01807884050607681,0.015716307619214057,0.009927347066667345,0.005788960579037666,0.02362532868915134,0.4990570731798808,0.43749095735549925,0.9148,0.9154246692005226
29,0.00037565505641757246,0.016574248258438375,0.014237936375538508,0.008994757276359532,0.005243179093135728,0.023363118654489517,0.4979251925468445,0.43246683626174925,0.9206,0.9207405446970359
30,0.00034549150281252633,0.015783345701131556,0.013480677032967408,0.00840914395145244,0.00507153309173882,0.023026686715748576,0.5001348357412551,0.44273943972587587,0.9232,0.9230862916433715
31,0.00031593772365766105,0.014700001182821061,0.012447663667632473,0.007834992043508423,0.004612671634720431,0.022523375293943618,0.4991687405162387,0.39337354984283446,0.9234,0.9238903438243513
32,0.00028711035421746355,0.014766230197416411,0.012593131282925605,0.007781192053771681,0.0048119392022904425,0.021730988726350996,0.5024507666269938,0.40966811380386353,0.9244,0.9246935602625861
33,0.0002591231629491422,0.014236611404021582,0.012081086068848768,0.00757499583048953,0.004506090248955621,0.021555253652731577,0.499506770547231,0.3933819489479065,0.9304,0.9303887860476246
34,0.00023208660251050145,0.014018168522251977,0.011905454595221413,0.00739530332452721,0.004510151248756382,0.021127139144473606,0.49971220319535997,0.37146355295181277,0.928,0.928047137232543
35,0.00020610737385376337,0.014498190932803684,0.012422662474049462,0.007713909090227551,0.004708753384566969,0.02075528480741713,0.4994432747840881,0.42981195330619815,0.926,0.9264564282172383
